timestamp,open,high,low,close,volume
2026-05-05 06:30:00,2371.19,2376.0,2370.81,2373.58,2295.1272
2026-05-05 06:45:00,2373.59,2378.92,2373.59,2378.85,2303.4741
2026-05-05 07:00:00,2378.84,2382.95,2375.81,2381.36,3586.1012
2026-05-05 07:15:00,2381.36,2385.2,2379.63,2383.12,2297.9477
2026-05-05 07:30:00,2383.13,2388.56,2382.57,2385.76,4595.4074
2026-05-05 07:45:00,2385.76,2386.69,2379.5,2380.59,3210.1763
2026-05-05 08:00:00,2380.59,2384.62,2380.0,2384.03,1282.0476
2026-05-05 08:15:00,2384.02,2384.53,2377.34,2378.34,2506.8563
2026-05-05 08:30:00,2378.34,2380.0,2373.0,2373.99,2208.9964
2026-05-05 08:45:00,2373.99,2377.65,2373.99,2376.81,1060.8157
2026-05-05 09:00:00,2376.82,2376.96,2368.9,2368.9,2057.0446
2026-05-05 09:15:00,2368.91,2371.8,2367.46,2371.49,2073.044
2026-05-05 09:30:00,2371.49,2374.04,2366.76,2369.0,1478.7425
2026-05-05 09:45:00,2369.0,2371.09,2367.17,2369.6,1382.1596
2026-05-05 10:00:00,2369.6,2372.36,2367.3,2370.0,1902.3792
2026-05-05 10:15:00,2370.01,2375.58,2370.01,2374.42,1749.587
2026-05-05 10:30:00,2374.42,2379.34,2374.0,2376.35,1810.441
2026-05-05 10:45:00,2376.36,2378.49,2373.43,2378.41,1628.6378
2026-05-05 11:00:00,2378.42,2379.34,2375.0,2378.37,1518.807
2026-05-05 11:15:00,2378.38,2379.33,2372.95,2378.08,1070.1947
2026-05-05 11:30:00,2378.07,2383.49,2377.11,2380.89,3220.847
2026-05-05 11:45:00,2380.9,2382.48,2374.91,2379.89,2430.3531
2026-05-05 12:00:00,2379.89,2383.48,2376.34,2382.38,2739.0341
2026-05-05 12:15:00,2382.38,2387.64,2381.68,2386.85,3446.8077
2026-05-05 12:30:00,2386.85,2389.66,2384.93,2388.78,3058.7939
2026-05-05 12:45:00,2388.79,2390.47,2385.81,2388.52,2485.7299
2026-05-05 13:00:00,2388.52,2397.61,2386.42,2395.15,9159.9607
2026-05-05 13:15:00,2395.15,2399.5,2388.75,2390.0,5752.7256
2026-05-05 13:30:00,2389.99,2395.0,2383.5,2389.64,5102.8624
2026-05-05 13:45:00,2389.65,2398.0,2383.64,2388.72,6427.9083
2026-05-05 14:00:00,2388.71,2392.36,2380.74,2381.81,6470.1307
2026-05-05 14:15:00,2381.82,2384.74,2369.17,2383.45,9551.9191
2026-05-05 14:30:00,2383.44,2387.02,2371.43,2377.07,7694.306
2026-05-05 14:45:00,2377.07,2381.97,2373.48,2378.78,3506.8101
2026-05-05 15:00:00,2378.78,2387.93,2375.5,2383.68,4456.6797
2026-05-05 15:15:00,2383.68,2385.59,2380.24,2385.04,5047.9529
2026-05-05 15:30:00,2385.04,2386.44,2382.46,2385.4,1912.2919
2026-05-05 15:45:00,2385.41,2387.49,2380.72,2381.31,1994.597
2026-05-05 16:00:00,2381.3,2383.38,2379.36,2380.19,3458.5384
2026-05-05 16:15:00,2380.18,2382.64,2374.26,2376.45,3963.0336
2026-05-05 16:30:00,2376.44,2376.44,2361.0,2361.96,7145.7774
2026-05-05 16:45:00,2361.96,2369.75,2361.61,2365.94,3364.795
2026-05-05 17:00:00,2365.94,2369.92,2359.71,2365.95,4317.5146
2026-05-05 17:15:00,2365.96,2368.65,2363.92,2365.98,1986.94
2026-05-05 17:30:00,2365.99,2365.99,2360.72,2362.79,2224.3646
2026-05-05 17:45:00,2362.79,2364.36,2361.03,2362.8,1278.4832
2026-05-05 18:00:00,2362.81,2373.64,2362.81,2373.0,2633.3825
2026-05-05 18:15:00,2373.0,2373.33,2369.75,2372.1,2194.1916
2026-05-05 18:30:00,2372.08,2372.49,2369.4,2371.79,2727.3622
2026-05-05 18:45:00,2371.78,2374.78,2370.76,2372.28,1155.2546
2026-05-05 19:00:00,2372.28,2372.82,2369.48,2370.42,977.6678
2026-05-05 19:15:00,2370.43,2373.28,2369.33,2371.31,821.51
2026-05-05 19:30:00,2371.3,2374.31,2370.09,2374.23,1218.5208
2026-05-05 19:45:00,2374.23,2376.73,2369.56,2371.94,1443.9365
2026-05-05 20:00:00,2371.94,2382.37,2371.21,2380.47,3387.5005
2026-05-05 20:15:00,2380.47,2386.51,2378.4,2380.93,3987.3617
2026-05-05 20:30:00,2380.94,2387.0,2380.0,2383.99,3669.3583
2026-05-05 20:45:00,2383.99,2384.79,2381.98,2382.41,821.8948
2026-05-05 21:00:00,2382.41,2388.54,2378.17,2378.17,3912.3775
2026-05-05 21:15:00,2378.17,2380.95,2374.33,2375.9,2545.8031
2026-05-05 21:30:00,2375.91,2375.91,2368.9,2371.78,1497.071
2026-05-05 21:45:00,2371.78,2377.9,2370.89,2375.43,1211.119
2026-05-05 22:00:00,2375.43,2381.68,2373.82,2375.01,1598.7603
2026-05-05 22:15:00,2375.02,2379.65,2372.9,2376.77,982.641
2026-05-05 22:30:00,2376.77,2376.77,2354.34,2361.74,6619.3198
2026-05-05 22:45:00,2361.75,2375.35,2358.54,2367.51,4983.816
2026-05-05 23:00:00,2367.51,2369.75,2363.65,2369.75,2258.2057
2026-05-05 23:15:00,2369.75,2369.75,2357.69,2358.56,2931.0351
2026-05-05 23:30:00,2358.55,2360.84,2355.0,2359.53,3017.0626
2026-05-05 23:45:00,2359.52,2363.62,2359.39,2360.77,1704.0743
2026-05-06 00:00:00,2360.76,2365.9,2359.95,2364.37,3142.5058
2026-05-06 00:15:00,2364.37,2366.72,2357.01,2357.54,1912.6144
2026-05-06 00:30:00,2357.54,2362.93,2357.26,2361.07,1250.686
2026-05-06 00:45:00,2361.06,2367.72,2355.0,2364.63,3364.8067
2026-05-06 01:00:00,2364.63,2369.0,2362.75,2368.86,3502.4787
2026-05-06 01:15:00,2368.87,2374.41,2368.33,2370.01,2642.8239
2026-05-06 01:30:00,2370.01,2373.36,2369.41,2370.35,1015.8336
2026-05-06 01:45:00,2370.34,2376.99,2370.0,2373.19,1787.1381
2026-05-06 02:00:00,2373.2,2373.7,2368.92,2371.45,1279.7221
2026-05-06 02:15:00,2371.45,2371.45,2363.27,2363.37,1058.8917
2026-05-06 02:30:00,2363.36,2366.28,2360.0,2364.12,1914.5066
2026-05-06 02:45:00,2364.11,2370.69,2363.86,2369.75,2286.0924
2026-05-06 03:00:00,2369.75,2373.31,2368.08,2368.38,2688.2622
2026-05-06 03:15:00,2368.39,2380.87,2368.13,2376.37,2947.2715
2026-05-06 03:30:00,2376.38,2379.84,2375.04,2376.35,1458.3595
2026-05-06 03:45:00,2376.36,2377.9,2373.94,2376.8,802.81
2026-05-06 04:00:00,2376.81,2379.4,2374.57,2377.27,1151.9622
2026-05-06 04:15:00,2377.27,2377.9,2372.92,2372.92,1114.6315
2026-05-06 04:30:00,2372.92,2373.03,2369.01,2371.4,1636.8371
2026-05-06 04:45:00,2371.4,2373.68,2361.25,2366.08,4007.1707
2026-05-06 05:00:00,2366.08,2366.99,2362.56,2364.43,1232.1058
2026-05-06 05:15:00,2364.43,2366.12,2363.0,2365.42,1195.9298
2026-05-06 05:30:00,2365.42,2365.43,2355.0,2360.42,7307.2659
2026-05-06 05:45:00,2360.43,2365.26,2360.37,2365.03,1715.2767
2026-05-06 06:00:00,2365.03,2366.71,2361.46,2363.21,1658.288
2026-05-06 06:15:00,2363.21,2366.55,2361.0,2365.51,1141.766
2026-05-06 06:30:00,2365.5,2370.45,2364.52,2370.45,1613.9398
2026-05-06 06:45:00,2370.45,2371.29,2368.16,2370.52,1897.3329
2026-05-06 07:00:00,2370.53,2373.75,2368.57,2370.04,3809.9967
