timestamp,open,high,low,close,volume
2026-08-03 05:15:00,4064.96,4069.48,4061.61,4067.39,1328.141
2026-08-03 05:30:00,4067.38,4071.43,4062.08,4070.29,2322.387
2026-08-03 05:45:00,4070.29,4076.30,4066.25,4075.72,2606.308
2026-08-03 06:00:00,4075.72,4077.70,4072.82,4073.14,2905.618
2026-08-03 06:15:00,4073.14,4078.78,4072.61,4075.16,2045.425
2026-08-03 06:30:00,4075.11,4075.20,4068.38,4072.29,2753.651
2026-08-03 06:45:00,4072.29,4073.63,4069.82,4070.90,1461.830
2026-08-03 07:00:00,4070.91,4072.06,4067.08,4068.38,1750.087
2026-08-03 07:15:00,4068.39,4068.90,4059.90,4065.69,4990.432
2026-08-03 07:30:00,4065.69,4068.39,4064.44,4067.04,1521.928
2026-08-03 07:45:00,4067.09,4070.92,4065.86,4069.01,1089.007
2026-08-03 08:00:00,4069.01,4069.93,4066.12,4069.67,1016.241
2026-08-03 08:15:00,4069.66,4070.14,4062.27,4064.06,1157.400
2026-08-03 08:30:00,4064.05,4067.98,4062.68,4065.83,970.910
2026-08-03 08:45:00,4065.84,4068.49,4065.37,4067.07,989.808
2026-08-03 09:00:00,4067.05,4069.57,4064.82,4069.02,892.079
2026-08-03 09:15:00,4069.02,4069.02,4060.14,4060.89,1605.721
2026-08-03 09:30:00,4060.89,4062.40,4054.69,4061.46,5166.794
2026-08-03 09:45:00,4061.46,4065.85,4061.35,4063.09,1526.144
2026-08-03 10:00:00,4063.09,4064.46,4060.70,4063.70,1141.899
2026-08-03 10:15:00,4063.71,4064.63,4060.12,4061.66,858.063
2026-08-03 10:30:00,4061.66,4061.77,4057.00,4057.10,1280.032
2026-08-03 10:45:00,4057.11,4058.54,4054.21,4057.47,1992.207
2026-08-03 11:00:00,4057.47,4060.99,4056.05,4057.99,1727.014
2026-08-03 11:15:00,4057.99,4057.99,4053.82,4056.42,1519.273
2026-08-03 11:30:00,4056.41,4062.98,4056.21,4061.95,1420.696
2026-08-03 11:45:00,4061.95,4070.32,4060.68,4069.73,2799.050
